config,attack,alpha,avg_DR_mean,avg_DR_std,avg_DR_min,avg_DR_max,avg_DR_n,avg_FPR_mean,avg_FPR_std,avg_FPR_min,avg_FPR_max,avg_FPR_n,final_acc_mean,final_acc_std,final_acc_min,final_acc_max,final_acc_n,avg_ASR_mean,avg_ASR_std,avg_ASR_min,avg_ASR_max,avg_ASR_n,warmup_ok_all
C1,alie,1.0,0.0024427350427350426,0.0021154706017230134,0.0,0.003664102564102564,3,0.012287179487179486,0.0035512931592902278,0.00874102564102564,0.015843589743589744,3,0.7343333333333334,0.014511489700693474,0.7245,0.751,3,,,,,0,True
C1,gaussian_noise,0.1,1.0,0.0,1.0,1.0,3,0.2921145299145299,0.03315312652493365,0.25514102564102564,0.31919487179487177,3,0.6438333333333334,0.029624033036258508,0.62,0.677,3,,,,,0,True
C1,gaussian_noise,0.25,1.0,0.0,1.0,1.0,3,0.09974700854700853,0.01011364397403264,0.08808205128205128,0.10606153846153846,3,0.7296666666666667,0.009251126057585319,0.719,0.7355,3,,,,,0,True
C1,gaussian_noise,0.5,1.0,0.0,1.0,1.0,3,0.013179487179487179,0.0026250362384399473,0.010276923076923076,0.015387179487179487,3,0.7656666666666666,0.009385272150200717,0.76,0.7765,3,,,,,0,True
C1,gaussian_noise,1.0,1.0,0.0,1.0,1.0,3,0.0,0.0,0.0,0.0,3,0.7668333333333334,0.02138535324312727,0.7535,0.7915,3,,,,,0,True
C1,label_flip,0.1,0.3870068376068376,0.012278068604669403,0.3786230769230769,0.40109999999999996,3,0.3122974358974359,0.03322059703047409,0.28091794871794873,0.3470948717948718,3,0.6155,0.07118988692223076,0.5415,0.6835,3,,,,,0,True
C1,label_flip,0.25,0.24324358974358976,0.002624435069606876,0.24063076923076926,0.24587948717948718,3,0.08389914529914531,0.005133029995221448,0.08056666666666668,0.08981025641025642,3,0.7038333333333333,0.03984448937222478,0.6625,0.742,3,,,,,0,True
C1,label_flip,0.5,0.29488119658119655,0.03361774936755875,0.2675384615384615,0.3324153846153846,3,0.06248034188034188,0.004373760993586182,0.05757948717948718,0.06598717948717948,3,0.7053333333333334,0.023153473461520514,0.6875,0.7315,3,,,,,0,True
C1,label_flip,1.0,0.02254957264957265,0.026566481471211906,0.0,0.051835897435897435,3,0.00943076923076923,0.004609295841289776,0.005884615384615384,0.014641025641025639,3,0.6469999999999999,0.11107204868912794,0.576,0.775,3,,,,,0,True
C1,minmax,0.1,0.395891452991453,0.0498236994595199,0.3584615384615385,0.4524435897435897,3,0.29234017094017095,0.044981789019717985,0.26043076923076924,0.3437871794871795,3,0.09583333333333333,0.006525590650150637,0.0885,0.101,3,,,,,0,True
C1,minmax,0.25,0.5172222222222222,0.29769870512940116,0.17488205128205128,0.7153538461538462,3,0.16162307692307692,0.05550122411003231,0.1059102564102564,0.2169102564102564,3,0.10983333333333334,0.021414558910548064,0.096,0.1345,3,,,,,0,True
C1,minmax,0.5,0.9863196581196582,0.008676148027659045,0.9811333333333334,0.9963358974358975,3,0.08907948717948717,0.0017022841135238918,0.08746666666666666,0.09085897435897436,3,0.723,0.03222188697143606,0.6865,0.7475,3,,,,,0,True
