dataset,attack,alpha,round,l1_median_mean,l1_mad_mean,l1_thr_reject_mean,l2_thr_distance_mean,n_seeds
cifar-10,alie,0.25,37,125.77656666666667,29.3165,243.04256666666666,134.85333333333332,3
cifar-10,alie,0.25,38,132.3002,27.818633333333327,243.57476666666665,132.13,3
cifar-10,alie,0.25,39,127.67309999999999,29.375033333333334,245.17336666666665,130.08666666666667,3
cifar-10,alie,0.25,40,128.67203333333333,26.276600000000002,233.77846666666667,121.83666666666666,3
cifar-10,alie,0.25,41,128.91246666666666,32.7586,259.94689999999997,137.96666666666667,3
cifar-10,alie,0.25,42,127.49016666666667,25.611166666666666,229.93483333333333,132.48999999999998,3
cifar-10,alie,0.25,43,130.10046666666668,28.21343333333333,242.95426666666665,141.45333333333335,3
cifar-10,alie,0.25,44,132.5888,28.23646666666667,245.53473333333332,133.1,3
cifar-10,alie,0.25,45,128.24193333333335,32.8106,259.48436666666663,139.04,3
cifar-10,alie,0.25,46,134.4671,33.1018,266.87426666666664,140.73666666666665,3
cifar-10,alie,0.25,47,134.46343333333334,28.60676666666667,248.8905,138.69333333333336,3
cifar-10,alie,0.25,48,131.82263333333333,28.0686,244.09703333333334,133.64000000000001,3
cifar-10,alie,0.25,49,134.68266666666668,28.982799999999997,250.61396666666667,138.17,3
cifar-10,alie,0.25,50,127.1193,27.52123333333333,237.20423333333335,135.42333333333332,3
cifar-10,alie,0.5,11,135.33863333333332,13.0856,187.6812,102.46999999999998,3
cifar-10,alie,0.5,12,132.88906666666665,14.534566666666668,191.0273,107.02,3
cifar-10,alie,0.5,13,128.1919,14.349833333333335,185.5911,103.27666666666666,3
cifar-10,alie,0.5,14,135.00896666666665,12.025799999999998,183.1123,100.67999999999999,3
cifar-10,alie,0.5,15,135.23243333333335,15.941766666666666,198.99946666666665,108.63666666666667,3
cifar-10,alie,0.5,16,128.13483333333332,15.834466666666666,191.4727,107.07,3
cifar-10,alie,0.5,17,133.88956666666667,15.0602,194.1303,110.8,3
cifar-10,alie,0.5,18,132.83083333333335,15.147633333333333,193.42143333333334,113.75,3
cifar-10,alie,0.5,19,135.78966666666668,16.9512,203.59443333333334,117.02666666666666,3
cifar-10,alie,0.5,20,135.75063333333335,16.826733333333333,203.05753333333334,123.62333333333333,3
cifar-10,alie,0.5,21,134.41316666666668,15.701566666666666,197.21943333333334,121.34999999999998,3
cifar-10,alie,0.5,22,133.8883,14.631133333333333,192.4127,114.77333333333333,3
cifar-10,alie,0.5,23,133.79083333333332,14.223466666666667,190.68476666666666,113.83999999999999,3
cifar-10,alie,0.5,24,137.1418666666667,11.102399999999998,181.55139999999997,118.66333333333334,3
cifar-10,alie,0.5,25,131.6419,14.325899999999999,188.94536666666667,121.96,3
cifar-10,alie,0.5,26,130.65236666666667,15.114666666666666,191.1111,118.45,3
cifar-10,alie,0.5,27,136.2986,17.076633333333334,204.6052,133.67,3
cifar-10,alie,0.5,28,134.65856666666667,14.9565,194.48456666666667,133.66666666666666,3
cifar-10,alie,0.5,29,131.92526666666666,14.429166666666667,189.64193333333333,126.38333333333333,3
cifar-10,alie,0.5,30,137.87300000000002,15.712366666666666,200.72256666666667,126.89,3
cifar-10,alie,0.5,31,137.2704666666667,14.693666666666667,196.04506666666666,127.03333333333335,3
cifar-10,alie,0.5,32,133.72536666666667,13.769,188.8015,129.02333333333334,3
cifar-10,alie,0.5,33,136.73783333333333,16.602033333333335,203.14610000000002,129.22333333333333,3
cifar-10,alie,0.5,34,137.4098,16.365566666666666,202.87203333333332,129.25666666666666,3
cifar-10,alie,0.5,35,133.21906666666666,15.672899999999998,195.91076666666666,126.10666666666667,3
cifar-10,alie,0.5,36,137.03336666666667,14.376833333333332,194.54076666666666,117.43333333333334,3
cifar-10,alie,0.5,37,133.38436666666666,15.2186,194.25873333333334,123.23666666666668,3
cifar-10,alie,0.5,38,134.86343333333332,15.782633333333331,197.99413333333334,129.53666666666666,3
cifar-10,alie,0.5,39,132.99263333333332,12.609166666666667,183.42926666666668,133.35666666666668,3
cifar-10,alie,0.5,40,133.38673333333335,14.497300000000001,191.37596666666664,122.68666666666667,3
cifar-10,alie,0.5,41,133.34813333333332,15.380166666666666,194.86873333333332,126.02666666666666,3
cifar-10,alie,0.5,42,136.04656666666668,15.570233333333334,198.32753333333335,131.30666666666667,3
cifar-10,alie,0.5,43,134.9451,14.760966666666667,193.98906666666667,130.70333333333335,3
