dataset,attack,alpha,module,n_seeds,DR_mean,DR_std,FPR_mean,FPR_std
fashion-mnist,alie,0.25,L1,3,0.013756213457309282,0.0065844031950613655,0.06907746194875826,0.005378156077171228
fashion-mnist,alie,0.25,L2,3,0.11005668169741839,0.012563018599466824,0.06956837996544947,0.005659122551271277
fashion-mnist,alie,0.25,Final,3,0.11005668169741839,0.012563018599466824,0.06956837996544947,0.005659122551271277
fashion-mnist,alie,0.5,L1,3,0.0,0.0,0.010992329038247789,0.001075127969477568
fashion-mnist,alie,0.5,L2,3,0.001092896174863388,0.0018929517022610682,0.014011297299481426,0.002599630726188675
fashion-mnist,alie,0.5,Final,3,0.001092896174863388,0.0018929517022610682,0.014011297299481426,0.002599630726188675
fashion-mnist,alie,1.0,L1,3,0.027424029875603727,0.0071939881515999055,0.010974555382450119,0.003071381261944712
fashion-mnist,alie,1.0,L2,3,0.04452971866712787,0.007402532798185034,0.024451660306923462,0.0036422102199199545
fashion-mnist,alie,1.0,Final,3,0.04452971866712787,0.007402532798185034,0.024451660306923462,0.0036422102199199545
fashion-mnist,gaussian_noise,0.1,L1,3,0.5388665998656057,0.07827620420926697,0.002449809211652963,0.0016656993434420078
fashion-mnist,gaussian_noise,0.1,L2,3,1.0,0.0,0.0235465407839649,0.012431432563164974
fashion-mnist,gaussian_noise,0.1,Final,3,1.0,0.0,0.0235465407839649,0.012431432563164974
fashion-mnist,gaussian_noise,0.25,L1,3,0.9655871738366709,0.034020633249965744,0.010902729927761359,0.0030256244268265678
fashion-mnist,gaussian_noise,0.25,L2,3,1.0,0.0,0.06699053124358874,0.002223035367365113
fashion-mnist,gaussian_noise,0.25,Final,3,1.0,0.0,0.06699053124358874,0.002223035367365113
fashion-mnist,gaussian_noise,0.5,L1,3,1.0,0.0,0.0,0.0
fashion-mnist,gaussian_noise,0.5,L2,3,1.0,0.0,0.0,0.0
fashion-mnist,gaussian_noise,0.5,Final,3,1.0,0.0,0.0,0.0
