config,attack,alpha,n_seeds,DR_mean,DR_std,DR_sem,DR_min,DR_max,DR_n,FPR_mean,FPR_std,FPR_sem,FPR_min,FPR_max,FPR_n,acc_mean,acc_std,acc_sem,acc_min,acc_max,acc_n,ASR_mean,ASR_std,ASR_sem,ASR_min,ASR_max,ASR_n,gas_flagged_count_mean,gas_flagged_count_std,gas_flagged_count_sem,gas_flagged_count_min,gas_flagged_count_max,gas_flagged_count_n,gas_only_caught_mean,gas_only_caught_std,gas_only_caught_sem,gas_only_caught_min,gas_only_caught_max,gas_only_caught_n,gas_false_flag_mean,gas_false_flag_std,gas_false_flag_sem,gas_false_flag_min,gas_false_flag_max,gas_false_flag_n
G_OFF,sign_flip,0.1,6,1.0,0.0,0.0,1.0,1.0,240,0.30772970518616805,0.10321330135856999,0.006662389954480482,0.05555555555555555,0.5882352941176471,240,0.49561666666666665,0.1083340512796723,0.006992932940555851,0.205,0.6715,240,,,,,,0,,,,,,0,,,,,,0,,,,,,0
G_OFF,sign_flip,0.25,6,1.0,0.0,0.0,1.0,1.0,240,0.08968809026084568,0.0528487200163845,0.003411370208197262,0.0,0.1875,240,0.6285437500000001,0.08963236841147404,0.005785744502312778,0.363,0.757,240,,,,,,0,,,,,,0,,,,,,0,,,,,,0
G_OFF,sign_flip,0.5,6,1.0,0.0,0.0,1.0,1.0,240,0.01263010723295166,0.02447351647578565,0.0015797586955641776,0.0,0.07142857142857142,240,0.6679666666666667,0.08234523287940679,0.005315361926358565,0.4485,0.796,240,,,,,,0,,,,,,0,,,,,,0,,,,,,0
G_OFF,sign_flip,1.0,6,1.0,0.0,0.0,1.0,1.0,240,0.0,0.0,0.0,0.0,0.0,240,0.68321875,0.08713245017160914,0.005624375473814829,0.448,0.794,240,,,,,,0,,,,,,0,,,,,,0,,,,,,0
G_OFF,slow_poison,0.1,6,0.8097313912938913,0.14830372152276536,0.009572964060637545,0.2857142857142857,1.0,240,0.38152734049647746,0.10656727528025015,0.006878888040185169,0.13333333333333333,0.7058823529411765,240,0.50538125,0.11057201719186759,0.0071373930190110554,0.2135,0.68,240,,,,,,0,,,,,,0,,,,,,0,,,,,,0
G_OFF,slow_poison,0.25,6,0.7934946188071188,0.15338751692617048,0.009901121642852775,0.375,1.0,240,0.09592181595422694,0.04961888363298552,0.0032028851661326115,0.0,0.2,240,0.6289874999999999,0.0918404784572881,0.005928277392879964,0.363,0.7605,240,,,,,,0,,,,,,0,,,,,,0,,,,,,0
G_OFF,slow_poison,0.5,6,0.8151948051948051,0.15451630655030796,0.009973984699780378,0.2857142857142857,1.0,240,0.01541697636657002,0.02888913692811422,0.0018647857701482012,0.0,0.16666666666666666,240,0.66633125,0.08151027133532925,0.005261465390442966,0.4305,0.7745,240,,,,,,0,,,,,,0,,,,,,0,,,,,,0
G_OFF,slow_poison,1.0,6,0.7286028439153439,0.16764220386851322,0.010821257728404338,0.3333333333333333,1.0,240,0.0007369961873638344,0.0065719443491589966,0.0004242171836082456,0.0,0.0625,240,0.6835604166666667,0.08332024406442512,0.005378298627724264,0.487,0.8025,240,,,,,,0,,,,,,0,,,,,,0,,,,,,0
G_ON,alie,0.1,6,0.4781434884559885,0.18667239723934465,0.012049651428409953,0.0,1.0,240,0.5251194669838246,0.1391681603688965,0.008983266123850987,0.13333333333333333,0.875,240,0.40433541666666667,0.13664604351766166,0.008820464181150626,0.092,0.623,240,,,,,,0,3.183333333333333,2.1059125108813874,0.13593606805355765,0.0,8.0,240,0.8458333333333333,0.7850481245631098,0.050674638540071495,0.0,4.0,240,2.1666666666666665,1.5729583743442814,0.10153402646854823,0.0,6.0,240
G_ON,alie,0.25,6,0.32481316137566135,0.13618983720489836,0.008791016190287843,0.0,0.6666666666666666,240,0.10072969372746848,0.05121299696973683,0.003305784739552694,0.0,0.23076923076923078,240,0.61055625,0.08724000201974928,0.00563131791575984,0.101,0.734,240,,,,,,0,2.845833333333333,1.4853480120415794,0.09587880189932217,0.0,7.0,240,1.0458333333333334,0.8927786377122661,0.057628613261822524,0.0,4.0,240,1.075,0.864574773948994,0.05580806168425826,0.0,4.0,240
